id,console-name,product-name,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,gamestop-price,genre,upc
2587,GameBoy Advance,Strawberry Shortcake Sumertime Adventure,"",$3.69,$2.20,$10.99,$9.99,Action & Adventure,096427013730
9863,GameBoy Advance,Strawberry Shortcake Sweet Dreams,$0.84,$4.19,$1.00,$4.99,$9.99,Action & Adventure,096427014782
2588,GameBoy Advance,Strawberry Shortcake Volume 1,$1.04,$5.19,$1.00,$5.19,$6.99,Other,096427013495
2589,GameBoy Advance,Street Fighter Alpha 3,$2.00,$9.99,$3.40,$16.99,$6.99,Fighting,013388280063
2590,GameBoy Advance,Street Jam Basketball,$1.10,$5.49,$2.80,$13.99,$1.99,Basketball,802068100216
11532,GameBoy Advance,Street Racing Syndicate,$1.18,$5.89,$1.20,$5.89,$4.99,Racing,722674500227
11822,GameBoy Advance,Strike Force Hydra,$0.94,$4.69,$1.50,$7.29,$2.99,Action & Adventure,893384000168
2591,GameBoy Advance,Stuart Little 2,"",$2.59,$1.00,$4.99,$3.99,Action & Adventure,047875803794
2592,GameBoy Advance,Stuntman,$0.84,$4.19,$1.70,$8.39,$2.99,Action & Adventure,742725248458
2593,GameBoy Advance,Sudoku Fever,"",$1.99,$2.20,$10.99,$2.99,Puzzle,710425259418
10471,GameBoy Advance,Suite Life of Zack and Cody Tipton Caper,"",$2.79,$1.50,$7.29,$7.99,Action & Adventure,712725002893
10969,GameBoy Advance,Sum of All Fears,$0.80,$3.99,$1.90,$9.39,$2.99,Action & Adventure,008888140276
11552,GameBoy Advance,Summon Night Swordcraft Story,$7.50,$24.99,$62.80,$156.99,$9.99,RPG,730865850181
7458,GameBoy Advance,Summon Night Swordcraft Story 2,$8.10,$26.99,$9.60,$31.99,$7.99,RPG,730865850235
2594,GameBoy Advance,Super Army War,$1.56,$7.79,$2.20,$10.99,$5.99,Action & Adventure,730865850143
2595,GameBoy Advance,Super Bubble Pop,$0.84,$4.19,$1.00,$5.19,$2.99,Other,032264265017
2596,GameBoy Advance,Super Bust-A-Move,$1.16,$5.79,$1.20,$5.79,$4.99,Puzzle,008888140139
9885,GameBoy Advance,Super Collapse II,$1.26,$6.29,$1.30,$6.29,$6.99,Puzzle,096427013266
2597,GameBoy Advance,Super Dodge Ball Advance,$0.78,$3.89,$1.50,$7.39,$2.99,Sports,730865850013
11819,GameBoy Advance,Super Dropzone,"",$2.59,$2.00,$9.99,$2.99,Action & Adventure,893384000106
11141,GameBoy Advance,Super Duper Sumos,"",$3.09,$1.00,$4.99,$0.99,Action & Adventure,031719191222
2598,GameBoy Advance,Super Ghouls 'N Ghosts,$3.20,$15.99,$8.70,$28.99,$4.99,Action & Adventure,013388280100
2599,GameBoy Advance,Super Hornet FA-18F,"",$1.99,$2.40,$11.99,$3.99,Action & Adventure,096427013709
2600,GameBoy Advance,Super Mario Advance,$1.46,$7.29,$2.80,$13.99,$19.99,Action & Adventure,045496731397
2601,GameBoy Advance,Super Mario Advance 2,$2.00,$9.99,$6.60,$21.99,$19.99,Action & Adventure,045496731540
2710,GameBoy Advance,Super Mario Advance 3 Yoshi's Island,$2.00,$9.99,$7.20,$23.99,$19.99,Action & Adventure,045496731861
2602,GameBoy Advance,Super Mario Advance 4,$2.40,$11.99,$7.20,$23.99,$19.99,Action & Adventure,045496733384
2603,GameBoy Advance,Super Mario NES Series,$3.00,$14.99,$16.80,$41.99,$29.99,Action & Adventure,045496734060
2604,GameBoy Advance,Super Monkey Ball Jr.,$0.80,$3.99,$1.70,$8.39,$3.99,Puzzle,785138321257
2605,GameBoy Advance,Super Puzzle Fighter 2,$2.60,$12.99,$2.80,$13.99,$4.99,Fighting,013388280124
11551,GameBoy Advance,Super Robot Taisen Original Generation,$3.20,$15.99,$6.30,$20.99,$9.99,RPG,730865850167
